"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"India",2030,"DTP","urban_nonpoor",29.2,29.2,29.2,29.2
"India",2030,"DTP","urban_poor",579.1,487.8,579.1,487.8
"India",2030,"Measles","urban_nonpoor",19.5,19.5,19.5,19.5
"India",2030,"Measles","urban_poor",427.9,327.1,427.9,327.1
"India",2040,"DTP","urban_nonpoor",36.6,36.6,36.6,36.6
"India",2040,"DTP","urban_poor",724.6,525.6,724.6,525.6
"India",2040,"Measles","urban_nonpoor",24.4,24.4,24.4,24.4
"India",2040,"Measles","urban_poor",535.5,337.9,535.5,337.9
"India",2050,"DTP","urban_nonpoor",0,0,0,0
"India",2050,"DTP","urban_poor",0,0,0,0
"India",2050,"Measles","urban_nonpoor",0,0,0,0
"India",2050,"Measles","urban_poor",0,0,0,0
"Indonesia",2025,"DTP","urban_nonpoor",14.4,14.4,14.4,14.4
"Indonesia",2025,"DTP","urban_poor",220.1,213.1,220.1,213.1
"Indonesia",2025,"Measles","urban_nonpoor",9.6,9.6,9.6,9.6
"Indonesia",2025,"Measles","urban_poor",162.6,155.9,162.6,155.9
"Indonesia",2030,"DTP","urban_nonpoor",15.5,15.5,15.5,15.5
"Indonesia",2030,"DTP","urban_poor",237.1,213.2,237.1,213.2
"Indonesia",2030,"Measles","urban_nonpoor",10.3,10.3,10.3,10.3
"Indonesia",2030,"Measles","urban_poor",175.2,152.5,175.2,152.5
"Indonesia",2040,"DTP","urban_nonpoor",17.9,17.9,17.9,17.9
"Indonesia",2040,"DTP","urban_poor",274.1,219.2,274.1,219.2
"Indonesia",2040,"Measles","urban_nonpoor",11.9,11.9,11.9,11.9
"Indonesia",2040,"Measles","urban_poor",202.5,151.1,202.5,151.1
"Indonesia",2050,"DTP","urban_nonpoor",0,0,0,0
"Indonesia",2050,"DTP","urban_poor",0,0,0,0
"Indonesia",2050,"Measles","urban_nonpoor",0,0,0,0
"Indonesia",2050,"Measles","urban_poor",0,0,0,0
"Bangladesh",2025,"DTP","urban_nonpoor",5.2,5.2,5.2,5.2
"Bangladesh",2025,"DTP","urban_poor",58.9,58.9,58.9,58.9
"Bangladesh",2025,"Measles","urban_nonpoor",3.5,3.5,3.5,3.5
"Bangladesh",2025,"Measles","urban_poor",43.5,42.1,43.5,42.1
"Bangladesh",2030,"DTP","urban_nonpoor",6,6,6,6
"Bangladesh",2030,"DTP","urban_poor",68.1,68.1,68.1,68.1
"Bangladesh",2030,"Measles","urban_nonpoor",4,4,4,4
"Bangladesh",2030,"Measles","urban_poor",50.3,45.9,50.3,45.9
"Bangladesh",2040,"DTP","urban_nonpoor",6.9,6.9,6.9,6.9
"Bangladesh",2040,"DTP","urban_poor",78,78,78,78
"Bangladesh",2040,"Measles","urban_nonpoor",4.6,4.6,4.6,4.6
"Bangladesh",2040,"Measles","urban_poor",57.6,52,57.6,52
"Bangladesh",2050,"DTP","urban_nonpoor",0,0,0,0
"Bangladesh",2050,"DTP","urban_poor",0,0,0,0
"Bangladesh",2050,"Measles","urban_nonpoor",0,0,0,0
"Bangladesh",2050,"Measles","urban_poor",0,0,0,0
"Pakistan",2025,"DTP","urban_nonpoor",48.8,34.8,48.8,34.8
"Pakistan",2025,"DTP","urban_poor",178.1,171,178.1,171
"Pakistan",2025,"Measles","urban_nonpoor",78.5,66.3,78.5,66.3
"Pakistan",2025,"Measles","urban_poor",142.1,135.8,142.1,135.8
"Pakistan",2030,"DTP","urban_nonpoor",55.5,9.7,55.5,9.7
"Pakistan",2030,"DTP","urban_poor",202.4,176.4,202.4,176.4
"Pakistan",2030,"Measles","urban_nonpoor",89.2,43.7,89.2,43.7
"Pakistan",2030,"Measles","urban_poor",161.4,138.4,161.4,138.4
"Pakistan",2040,"DTP","urban_nonpoor",76.7,13.5,76.7,13.5
"Pakistan",2040,"DTP","urban_poor",279.7,206,279.7,206
"Pakistan",2040,"Measles","urban_nonpoor",123.3,9,123.3,9
"Pakistan",2040,"Measles","urban_poor",223.1,156.5,223.1,156.5
"Pakistan",2050,"DTP","urban_nonpoor",0,0,0,0
"Pakistan",2050,"DTP","urban_poor",0,0,0,0
"Pakistan",2050,"Measles","urban_nonpoor",0,0,0,0
"Pakistan",2050,"Measles","urban_poor",0,0,0,0
"Philippines",2025,"DTP","urban_nonpoor",18.9,21.2,18.9,21.2
"Philippines",2025,"DTP","urban_poor",94.6,96.2,94.6,96.2
"Philippines",2025,"Measles","urban_nonpoor",17.7,19.9,17.7,19.9
"Philippines",2025,"Measles","urban_poor",66.6,68.1,66.6,68.1
"Philippines",2030,"DTP","urban_nonpoor",20.8,30,20.8,30
"Philippines",2030,"DTP","urban_poor",103.8,110.2,103.8,110.2
"Philippines",2030,"Measles","urban_nonpoor",19.4,28.3,19.4,28.3
"Philippines",2030,"Measles","urban_poor",73.1,79.2,73.1,79.2
"Philippines",2040,"DTP","urban_nonpoor",25.6,55,25.6,55
"Philippines",2040,"DTP","urban_poor",128.2,148.7,128.2,148.7
"Philippines",2040,"Measles","urban_nonpoor",24,52.5,24,52.5
"Philippines",2040,"Measles","urban_poor",90.3,110.1,90.3,110.1
"Philippines",2050,"DTP","urban_nonpoor",0,0,0,0
"Philippines",2050,"DTP","urban_poor",0,0,0,0
"Philippines",2050,"Measles","urban_nonpoor",0,0,0,0
"Philippines",2050,"Measles","urban_poor",0,0,0,0
