"country","year","vaccine","stratum","Flat coverage","Increasing coverage","Flat + catchup campaigns","Increasing + catchup campaigns"
"India",2025,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"DTP1","urban_poor","76.5%","77.8%","76.5%","77.8%"
"India",2025,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"DTP3","urban_poor","73.9%","75.9%","73.9%","75.9%"
"India",2025,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2025,"measles1","urban_poor","73.9%","76.2%","73.9%","76.2%"
"India",2030,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"DTP1","urban_poor","76.5%","80.2%","76.5%","80.2%"
"India",2030,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"DTP3","urban_poor","73.9%","79.6%","73.9%","79.6%"
"India",2030,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2030,"measles1","urban_poor","73.9%","80.1%","73.9%","80.1%"
"India",2040,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"DTP1","urban_poor","76.5%","83.0%","76.5%","83.0%"
"India",2040,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"DTP3","urban_poor","73.9%","83.2%","73.9%","83.2%"
"India",2040,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2040,"measles1","urban_poor","73.9%","83.6%","73.9%","83.6%"
"India",2050,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"DTP1","urban_poor","76.5%","84.1%","76.5%","84.1%"
"India",2050,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"DTP3","urban_poor","73.9%","84.2%","73.9%","84.2%"
"India",2050,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"India",2050,"measles1","urban_poor","73.9%","84.2%","73.9%","84.2%"
"Indonesia",2025,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2025,"DTP1","urban_poor","76.5%","77.2%","76.5%","77.2%"
"Indonesia",2025,"DTP3","urban_nonpoor","96.6%","98.3%","96.6%","98.3%"
"Indonesia",2025,"DTP3","urban_poor","71.4%","72.7%","71.4%","72.7%"
"Indonesia",2025,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2025,"measles1","urban_poor","73.9%","75.0%","73.9%","75.0%"
"Indonesia",2030,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2030,"DTP1","urban_poor","76.5%","78.9%","76.5%","78.9%"
"Indonesia",2030,"DTP3","urban_nonpoor","96.6%","99.0%","96.6%","99.0%"
"Indonesia",2030,"DTP3","urban_poor","71.4%","75.5%","71.4%","75.5%"
"Indonesia",2030,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2030,"measles1","urban_poor","73.9%","77.3%","73.9%","77.3%"
"Indonesia",2040,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2040,"DTP1","urban_poor","76.5%","81.2%","76.5%","81.2%"
"Indonesia",2040,"DTP3","urban_nonpoor","96.6%","99.0%","96.6%","99.0%"
"Indonesia",2040,"DTP3","urban_poor","71.4%","79.4%","71.4%","79.4%"
"Indonesia",2040,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2040,"measles1","urban_poor","73.9%","80.6%","73.9%","80.6%"
"Indonesia",2050,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2050,"DTP1","urban_poor","76.5%","82.7%","76.5%","82.7%"
"Indonesia",2050,"DTP3","urban_nonpoor","96.6%","99.0%","96.6%","99.0%"
"Indonesia",2050,"DTP3","urban_poor","71.4%","81.8%","71.4%","81.8%"
"Indonesia",2050,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Indonesia",2050,"measles1","urban_poor","73.9%","82.5%","73.9%","82.5%"
"Bangladesh",2025,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2025,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"DTP3","urban_poor","83.3%","83.6%","83.3%","83.6%"
"Bangladesh",2025,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2025,"measles1","urban_poor","82.4%","83.0%","82.4%","83.0%"
"Bangladesh",2030,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2030,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2030,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2030,"measles1","urban_poor","82.4%","84.0%","82.4%","84.0%"
"Bangladesh",2040,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2040,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2040,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2040,"measles1","urban_poor","82.4%","84.2%","82.4%","84.2%"
"Bangladesh",2050,"DTP1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"DTP1","urban_poor","84.2%","84.2%","84.2%","84.2%"
"Bangladesh",2050,"DTP3","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"DTP3","urban_poor","83.3%","84.2%","83.3%","84.2%"
"Bangladesh",2050,"measles1","urban_nonpoor","99.0%","99.0%","99.0%","99.0%"
"Bangladesh",2050,"measles1","urban_poor","82.4%","84.2%","82.4%","84.2%"
"Pakistan",2025,"DTP1","urban_nonpoor","94.3%","95.9%","94.3%","95.9%"
"Pakistan",2025,"DTP1","urban_poor","69.7%","70.9%","69.7%","70.9%"
"Pakistan",2025,"DTP3","urban_nonpoor","82.8%","84.8%","82.8%","84.8%"
"Pakistan",2025,"DTP3","urban_poor","61.2%","62.7%","61.2%","62.7%"
"Pakistan",2025,"measles1","urban_nonpoor","86.2%","88.4%","86.2%","88.4%"
"Pakistan",2025,"measles1","urban_poor","63.7%","65.3%","63.7%","65.3%"
"Pakistan",2030,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2030,"DTP1","urban_poor","69.7%","73.6%","69.7%","73.6%"
"Pakistan",2030,"DTP3","urban_nonpoor","82.8%","89.4%","82.8%","89.4%"
"Pakistan",2030,"DTP3","urban_poor","61.2%","66.1%","61.2%","66.1%"
"Pakistan",2030,"measles1","urban_nonpoor","86.2%","93.3%","86.2%","93.3%"
"Pakistan",2030,"measles1","urban_poor","63.7%","68.9%","63.7%","68.9%"
"Pakistan",2040,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2040,"DTP1","urban_poor","69.7%","77.7%","69.7%","77.7%"
"Pakistan",2040,"DTP3","urban_nonpoor","82.8%","97.1%","82.8%","97.1%"
"Pakistan",2040,"DTP3","urban_poor","61.2%","71.8%","61.2%","71.8%"
"Pakistan",2040,"measles1","urban_nonpoor","86.2%","99.0%","86.2%","99.0%"
"Pakistan",2040,"measles1","urban_poor","63.7%","74.6%","63.7%","74.6%"
"Pakistan",2050,"DTP1","urban_nonpoor","94.3%","99.0%","94.3%","99.0%"
"Pakistan",2050,"DTP1","urban_poor","69.7%","80.4%","69.7%","80.4%"
"Pakistan",2050,"DTP3","urban_nonpoor","82.8%","99.0%","82.8%","99.0%"
"Pakistan",2050,"DTP3","urban_poor","61.2%","76.0%","61.2%","76.0%"
"Pakistan",2050,"measles1","urban_nonpoor","86.2%","99.0%","86.2%","99.0%"
"Pakistan",2050,"measles1","urban_poor","63.7%","78.4%","63.7%","78.4%"
"Philippines",2025,"DTP1","urban_nonpoor","94.3%","93.6%","94.3%","93.6%"
"Philippines",2025,"DTP1","urban_poor","69.7%","69.2%","69.7%","69.2%"
"Philippines",2025,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2025,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2025,"measles1","urban_nonpoor","92.0%","91.0%","92.0%","91.0%"
"Philippines",2025,"measles1","urban_poor","68.0%","67.3%","68.0%","67.3%"
"Philippines",2030,"DTP1","urban_nonpoor","94.3%","91.8%","94.3%","91.8%"
"Philippines",2030,"DTP1","urban_poor","69.7%","67.8%","69.7%","67.8%"
"Philippines",2030,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2030,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2030,"measles1","urban_nonpoor","92.0%","88.4%","92.0%","88.4%"
"Philippines",2030,"measles1","urban_poor","68.0%","65.3%","68.0%","65.3%"
"Philippines",2040,"DTP1","urban_nonpoor","94.3%","87.8%","94.3%","87.8%"
"Philippines",2040,"DTP1","urban_poor","69.7%","64.9%","69.7%","64.9%"
"Philippines",2040,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2040,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2040,"measles1","urban_nonpoor","92.0%","82.5%","92.0%","82.5%"
"Philippines",2040,"measles1","urban_poor","68.0%","61.0%","68.0%","61.0%"
"Philippines",2050,"DTP1","urban_nonpoor","94.3%","83.3%","94.3%","83.3%"
"Philippines",2050,"DTP1","urban_poor","69.7%","61.6%","69.7%","61.6%"
"Philippines",2050,"DTP3","urban_nonpoor","85.1%","85.1%","85.1%","85.1%"
"Philippines",2050,"DTP3","urban_poor","62.9%","62.9%","62.9%","62.9%"
"Philippines",2050,"measles1","urban_nonpoor","92.0%","75.9%","92.0%","75.9%"
"Philippines",2050,"measles1","urban_poor","68.0%","56.1%","68.0%","56.1%"
